Date,Open,High,Low,Close,Adj Close,Volume
2019-05-02,74.550003,75.349998,74.449997,74.889999,73.927422,17700
2019-05-03,75.160004,76.639999,74.260002,76.010002,75.033028,26100
2019-05-06,75.430000,76.419998,75.160004,76.410004,75.427887,24800
2019-05-07,75.879997,76.580002,75.459999,76.300003,75.319298,25800
2019-05-08,76.599998,77.040001,75.699997,76.730003,75.743774,28500
2019-05-09,76.500000,77.919998,76.180000,77.919998,76.918472,15700
2019-05-10,78.010002,78.010002,76.309998,77.160004,76.168243,36300
2019-05-13,76.800003,78.160004,76.199997,77.989998,76.987572,29800
2019-05-14,78.239998,79.830002,78.110001,79.330002,78.310356,66100
2019-05-15,79.190002,80.000000,78.550003,79.019997,78.004333,49300
2019-05-16,78.769997,79.900002,78.250000,78.709999,77.698326,20300
2019-05-17,78.260002,80.000000,77.720001,79.989998,78.961868,41400
2019-05-20,79.389999,80.309998,79.389999,79.750000,78.724953,32500
2019-05-21,79.919998,81.500000,79.669998,80.080002,79.050713,41600
2019-05-22,80.000000,80.519997,78.699997,79.239998,78.221504,44200
2019-05-23,78.790001,79.410004,76.730003,76.910004,75.921463,33700
2019-05-24,77.070000,78.480003,76.870003,78.010002,77.007317,20300
2019-05-28,78.010002,79.010002,77.269997,77.830002,76.829628,60300
2019-05-29,77.040001,78.320000,75.930000,76.470001,75.487114,29700
2019-05-30,76.680000,78.050003,76.489998,77.440002,76.444649,24000
2019-05-31,77.040001,77.860001,76.260002,77.669998,76.671684,44300
2019-06-03,77.639999,79.230003,76.980003,78.849998,77.836517,36500
2019-06-04,79.129997,79.570000,78.470001,78.500000,77.491020,51300
2019-06-05,78.860001,78.959999,78.139999,78.440002,77.431793,16800
2019-06-06,78.440002,79.580002,78.330002,78.800003,77.787163,23900
2019-06-07,79.209999,80.199997,78.930000,79.680000,78.655846,16200
2019-06-10,80.489998,80.489998,79.150002,79.529999,78.507774,27900
2019-06-11,79.389999,79.779999,78.949997,79.529999,78.507774,36000
2019-06-12,79.550003,80.010002,78.190002,79.959999,78.932251,28700
2019-06-13,80.019997,81.300003,79.800003,81.230003,80.185936,56300
2019-06-14,81.500000,81.930000,80.690002,81.309998,80.264900,32700
2019-06-17,81.769997,81.870003,80.059998,81.250000,80.205673,37100
2019-06-18,81.430000,82.110001,81.089996,82.000000,80.946030,32300
2019-06-19,82.379997,82.820000,81.150002,82.220001,81.163208,40500
2019-06-20,82.940002,82.940002,80.410004,80.720001,79.682487,39000
2019-06-21,80.000000,80.620003,79.680000,80.389999,79.356720,90400
2019-06-24,80.739998,82.000000,80.370003,81.430000,80.383354,42500
2019-06-25,81.629997,81.949997,79.519997,79.519997,78.497910,30000
2019-06-26,79.500000,80.410004,78.720001,78.949997,77.935234,33200
2019-06-27,78.629997,80.500000,78.599998,80.400002,79.892807,34800
2019-06-28,80.639999,81.620003,79.940002,81.150002,80.638077,72500
2019-07-01,80.449997,81.379997,80.180000,80.480003,79.972305,21900
2019-07-02,80.480003,81.410004,79.919998,81.160004,80.648018,28800
2019-07-03,81.199997,81.470001,80.440002,80.750000,80.240601,9700
2019-07-05,80.620003,80.870003,79.690002,80.529999,80.021988,21100
2019-07-08,80.900002,80.900002,79.769997,80.480003,79.972305,38900
2019-07-09,80.209999,80.309998,78.900002,80.120003,79.614578,32400
2019-07-10,80.309998,81.290001,80.220001,80.690002,80.180977,18000
2019-07-11,80.870003,81.230003,80.709999,81.080002,80.568520,15600
2019-07-12,80.000000,82.230003,80.000000,81.120003,80.608269,32500
2019-07-15,81.570000,82.900002,81.500000,82.570000,82.049118,53900
2019-07-16,82.769997,83.250000,82.360001,83.059998,82.536026,20400
2019-07-17,83.000000,83.669998,82.639999,83.059998,82.536026,20600
2019-07-18,83.559998,84.000000,83.000000,83.559998,83.032867,14500
2019-07-19,83.029999,84.250000,83.029999,83.930000,83.400536,22600
2019-07-22,84.620003,84.949997,83.250000,84.760002,84.225304,37800
2019-07-23,84.860001,84.930000,83.089996,84.389999,83.857635,23100
2019-07-24,84.349998,84.930000,83.180000,84.050003,83.519783,59400
2019-07-25,84.070000,84.879997,83.949997,84.440002,83.907326,13000
2019-07-26,84.750000,86.260002,84.750000,85.870003,85.328300,32200
2019-07-29,85.970001,87.209999,85.970001,86.389999,85.845016,22400
2019-07-30,86.720001,88.010002,86.129997,87.919998,87.365364,6900
2019-07-31,88.120003,89.550003,86.959999,87.599998,87.047386,57900
2019-08-01,87.720001,88.250000,86.150002,86.150002,85.606537,42100
2019-08-02,85.970001,86.660004,85.570000,86.110001,85.566788,21900
2019-08-05,85.279999,85.360001,83.620003,84.690002,84.155746,34800
2019-08-06,84.519997,85.089996,83.089996,84.209999,83.678772,28900
